Row,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18
"R MTL HPC HC-Parasubiculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L MTL HPC HC-Presubiculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R MTL HPC HC-Presubiculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L MTL HPC HC-Prosubiculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R MTL HPC HC-Prosubiculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L MTL HPC HC-Subiculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R MTL HPC HC-Subiculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L MTL HPC HATA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R MTL HPC HATA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L MTL HPC HC-Transsubiculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R MTL HPC HC-Transsubiculum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L MTL Entorhinal Cortex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R MTL Entorhinal Cortex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L MTL AMYG VTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R MTL AMYG VTM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L MTL AMYG MF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R MTL AMYG MF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L MTL AMYG CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R MTL AMYG CM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L MTL AMYG SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R MTL AMYG SF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L MTL AMYG LB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R MTL AMYG LB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L INS Area lg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area lg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L INS Area lg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area lg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L INS Area lg3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R INS Area lg3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
